dataset,lambda,policy,k_full,k_med,k_short,n,wait_mean,srv_mean,tot_mean,wait_p95,tot_p95
cifar10,0.3,conservative,100,50,20,25,1.3654842500340223,1.7367150179313566,3.102199267965379,3.2171469679575853,4.275366606360683
cifar10,0.6,conservative,100,50,20,39,2.290881932775605,1.4388341995772582,3.7297161323528645,4.828451386066558,5.749034178248871
cifar10,0.9,conservative,100,50,20,62,3.181348897365297,0.9801154446778136,4.161464342043111,5.705680877927221,6.128536110309176
cifar10,0.3,aggressive,80,40,10,25,0.9739694387312268,1.4534449753335448,2.427414414064772,2.750086913754607,3.609320357952975
cifar10,0.6,aggressive,80,40,10,39,1.3981525985552794,1.2905482833535975,2.6887008819088773,3.499257604246849,4.010845738347761
cifar10,0.9,aggressive,80,40,10,62,2.190762362779143,0.9582497996395989,3.149012162418743,4.344576279188464,4.5941543726123495
cifar10,0.3,quality_bias,150,80,40,25,3.4610767900451913,2.2505291128122016,5.711605902857393,7.116502456715186,8.074563202540588
cifar10,0.6,quality_bias,150,80,40,39,4.717887799290709,1.5767232245050953,6.294611023795805,7.820029544068701,8.691313050540295
cifar10,0.9,quality_bias,150,80,40,62,7.01016966945185,1.0272522948023743,8.037421964254225,10.116310929410824,10.906658622522587
flowers,0.3,conservative,100,50,20,25,2.7954594019721144,2.0663602369048215,4.861819638876936,6.244895259571427,7.077877826663233
flowers,0.6,conservative,100,50,20,39,3.861370423400351,1.5310578936786619,5.3924283170790135,6.800416926258026,7.622946136415846
flowers,0.9,conservative,100,50,20,62,6.2213257129886195,1.0236588300949567,7.244984543083576,9.088383965330923,9.763767837081264
flowers,0.3,aggressive,80,40,10,25,1.911141258408312,1.8647667793187657,3.7759080377270777,4.165587430333747,5.401802556075995
flowers,0.6,aggressive,80,40,10,39,2.7516401229344627,1.516919660090936,4.2685597830254,5.484832083359112,6.197478355820146
flowers,0.9,aggressive,80,40,10,62,3.6674498323493427,1.0191918492728431,4.686641681622185,6.028316316686891,6.518576043805523
flowers,0.3,quality_bias,150,80,40,25,5.7680329101243775,2.5595454588152062,8.327578368939585,10.706169750109298,12.10767111078079
flowers,0.6,quality_bias,150,80,40,39,11.014780855005162,1.710715198276438,12.725496053281597,15.903114450774412,17.13932957651666
flowers,0.9,quality_bias,150,80,40,62,19.529399433905542,1.3899603316287465,20.919359765534292,27.610861654539807,28.847076780282055
faces,0.3,conservative,100,50,20,25,70.45712025761041,6.220121476879613,76.67724173449004,92.41988842320907,96.60956387380824
faces,0.6,conservative,100,50,20,39,103.50128081161722,5.491243416163556,108.9925242277808,148.22682834824684,152.416503798846
faces,0.9,conservative,100,50,20,62,149.23023288631103,5.008403687002573,154.23863657331364,240.77465430579642,244.96432975639559
faces,0.3,aggressive,80,40,10,25,41.945208383272075,3.9997288389322927,45.94493722220437,49.83360781986309,51.96525586894715
faces,0.6,aggressive,80,40,10,39,60.49574969167119,3.32913573488421,63.8248854265554,72.2276393983365,74.35928744742058
faces,0.9,aggressive,80,40,10,62,82.49947100939502,2.8849064320873756,85.38437744148239,116.18743785558394,118.31908590466799
faces,0.3,quality_bias,150,80,40,25,136.50951034360784,11.071373755232775,147.5808840988406,206.13288027867077,214.43861053230012
faces,0.6,quality_bias,150,80,40,39,198.98356380262464,10.078578652093084,209.06214245471773,315.1963436207109,323.5020738743402
faces,0.9,quality_bias,150,80,40,62,292.4562104418709,9.420909084921053,301.877119526792,497.67996702447,505.98569727809934
