dataset,lambda,policy,T1,T2,n,wait_mean,srv_mean,tot_mean,wait_p95,tot_p95
cifar10,0.3,policy_T11_T23,1,3,25,0.8310224827115309,1.454463864186111,2.285486346897642,2.1109731728285697,3.037225328909021
cifar10,0.6,policy_T11_T23,1,3,39,1.2248668914347112,1.1969811215923067,2.4218480130270175,3.0180935717372868,3.5213829320777457
cifar10,0.9,policy_T11_T23,1,3,62,1.796064626219691,0.8877784487857088,2.6838430750054,3.4504856054151816,3.8687330154682167
cifar10,0.3,policy_T11_T25,1,5,25,0.8980005336621013,1.499115898153158,2.3971164318152596,2.1109731728285697,3.0873710074696925
cifar10,0.6,policy_T11_T25,1,5,39,1.5637063464675196,1.2237658933733668,2.7874722398408864,3.6404557871755654,4.561038579357878
cifar10,0.9,policy_T11_T25,1,5,62,2.2010085748218464,0.9191626858743066,3.1201712606961527,4.080168755419374,4.49841616547241
cifar10,0.3,policy_T11_T28,1,8,25,0.8980005336621013,1.499115898153158,2.3971164318152596,2.1109731728285697,3.0873710074696925
cifar10,0.6,policy_T11_T28,1,8,39,1.8069160217725504,1.220089239541838,3.0270052613143874,4.307726235467096,5.284124070108219
cifar10,0.9,policy_T11_T28,1,8,62,4.059259215610131,0.9877129947059231,5.046972210316054,6.72927772748128,7.514866580250873
cifar10,0.3,policy_T12_T23,2,3,25,1.2576816726421887,1.6474109499972625,2.9050926226394513,3.2171469679575853,4.225220927800013
cifar10,0.6,policy_T12_T23,2,3,39,1.9044701003684672,1.3243418047899582,3.228811905158425,4.206089170628278,4.709378530968738
cifar10,0.9,policy_T12_T23,2,3,62,2.281847402526008,0.9577336337922494,3.2395810363182576,4.448726667557079,4.91779596397228
cifar10,0.3,policy_T12_T25,2,5,25,1.3654842500340223,1.7367150179313566,3.102199267965379,3.2171469679575853,4.275366606360683
cifar10,0.6,policy_T12_T25,2,5,39,2.290881932775605,1.4388341995772582,3.7297161323528645,4.828451386066558,5.749034178248871
cifar10,0.9,policy_T12_T25,2,5,62,3.181348897365297,0.9801154446778136,4.161464342043111,5.705680877927221,6.128536110309176
cifar10,0.3,policy_T12_T28,2,8,25,1.3654842500340223,1.7367150179313566,3.102199267965379,3.2171469679575853,4.275366606360683
cifar10,0.6,policy_T12_T28,2,8,39,2.580068961925087,1.4028577932173754,3.9829267551424627,5.495721834358089,6.472119668999212
cifar10,0.9,policy_T12_T28,2,8,62,3.8447186840399357,0.9868051370190789,4.8315238210590135,7.1640885038026365,7.582335913855671
cifar10,0.3,policy_T14_T25,4,5,25,2.577299212797094,1.9044682967703914,4.481767509567486,7.118558619755145,8.075975717780413
cifar10,0.6,policy_T14_T25,4,5,39,4.665539121470512,1.6414292833485018,6.306968404819014,8.067005848823536,8.59368022087049
cifar10,0.9,policy_T14_T25,4,5,62,5.181388598526911,0.9882100131940029,6.169598611720913,9.34136242431502,9.759609834368055
cifar10,0.3,policy_T14_T28,4,8,25,2.6666032807311875,1.9267943137539145,4.593397594485102,7.118558619755145,8.332555574174467
cifar10,0.6,policy_T14_T28,4,8,39,4.843559653793833,1.5768297782917933,6.420389432085626,9.008530290362483,9.975221705323914
cifar10,0.9,policy_T14_T28,4,8,62,6.210641783695065,1.0309094103474026,7.241551194042468,10.578836898353439,11.165645934098022
flowers,0.3,policy_T11_T23,1,3,25,1.4991208027684935,1.8195736023748277,3.318694405143321,3.6920012675392715,4.586094825579413
flowers,0.6,policy_T11_T23,1,3,39,2.4351992546003087,1.3872483148430592,3.8224475694433684,5.114281356756073,5.789665228506414
flowers,0.9,policy_T11_T23,1,3,62,3.5218628681178576,0.9693848377731593,4.491247705891015,6.072033333513826,6.747417205264167
flowers,0.3,policy_T11_T25,1,5,25,2.29167287968553,1.9092857202399782,4.200958599925508,4.8934267769584325,6.410057529696634
flowers,0.6,policy_T11_T25,1,5,39,3.120597655488446,1.4663265155511775,4.586924171039623,6.239324637596684,6.914708509347025
flowers,0.9,policy_T11_T25,1,5,62,5.546939464450198,1.0236461993851453,6.570585663835343,8.735128532384802,9.410512404135144
flowers,0.3,policy_T11_T28,1,8,25,2.29167287968553,1.9092857202399782,4.200958599925508,4.8934267769584325,6.410057529696634
flowers,0.6,policy_T11_T28,1,8,39,5.9275744420218235,1.545404716259296,7.4729791582811185,10.321484625350347,11.781910953325397
flowers,0.9,policy_T11_T28,1,8,62,7.568645678437152,1.064351693626493,8.632997372063643,11.890129150842123,12.565513022592464
flowers,0.3,policy_T12_T23,2,3,25,2.2285776979181833,2.100041436304668,4.328619134222851,5.094340437188475,5.988433995228613
flowers,0.6,policy_T12_T23,2,3,39,3.2505160464808105,1.559851936789713,4.810367983270526,6.129484231413561,6.804868103163902
flowers,0.9,policy_T12_T23,2,3,62,4.403248015886895,1.0281900832616473,5.431438099148542,7.49622415589479,8.171608027645132
flowers,0.3,policy_T12_T25,2,5,25,2.7954594019721144,2.0663602369048215,4.861819638876936,6.244895259571427,7.077877826663233
flowers,0.6,policy_T12_T25,2,5,39,3.861370423400351,1.5310578936786619,5.3924283170790135,6.800416926258026,7.622946136415846
flowers,0.9,policy_T12_T25,2,5,62,6.2213257129886195,1.0236588300949567,7.244984543083576,9.088383965330923,9.763767837081264
flowers,0.3,policy_T12_T28,2,8,25,3.098308279127744,2.1336599873838504,5.231968266511594,6.295765946607635,7.812396699345837
flowers,0.6,policy_T12_T28,2,8,39,5.83134278591758,1.5669952286950952,7.398338014612677,10.617363161392166,12.082112502987433
flowers,0.9,policy_T12_T28,2,8,62,8.125206713931803,1.0598330711696138,9.185039785101418,11.819961464009726,12.495345335760067
flowers,0.3,policy_T14_T25,4,5,25,4.27636715411407,2.3244157034485404,6.600782857562613,10.285961900489237,11.284895335610841
flowers,0.6,policy_T14_T25,4,5,39,7.516955914923887,1.7612094426675047,9.278165357591394,11.568526723866974,12.243910595617315
flowers,0.9,policy_T14_T25,4,5,62,9.46500511964394,1.0689082082128067,10.533913327856748,13.105580834491601,13.780964706241942
flowers,0.3,policy_T14_T28,4,8,25,5.319474240170491,2.470221388099659,7.7896956282701515,10.381425656457328,12.019414208293446
flowers,0.6,policy_T14_T28,4,8,39,8.120666999938043,1.7755763448380948,9.896243344776138,13.644239559606632,14.767651238580896
flowers,0.9,policy_T14_T28,4,8,62,9.74035058318792,1.0507958262558554,10.791146409443776,14.351996020382318,15.02737989213266
faces,0.3,policy_T11_T23,1,3,25,51.18188521038517,5.328380107830295,56.51026531821547,70.12635419697614,74.3160296475753
faces,0.6,policy_T11_T23,1,3,39,83.14255375141485,4.919614333439634,88.06216808485449,125.93329412201389,130.12296957261304
faces,0.9,policy_T11_T23,1,3,62,128.15375478064573,4.648830554321396,132.80258533496712,218.48112007956345,222.67079553016262
faces,0.3,policy_T11_T25,1,5,25,61.30738002583948,5.82230668419392,67.1296867100334,82.47451860606677,86.66419405666593
faces,0.6,policy_T11_T25,1,5,39,94.06592995945654,5.236233933672727,99.30216389312928,138.2814585311045,142.47113398170367
faces,0.9,policy_T11_T25,1,5,62,139.60568145036692,4.847994496403504,144.4536759467704,230.8292844886541,235.01895993925328
faces,0.3,policy_T11_T28,1,8,25,74.64339758765733,6.563196548739357,81.20659413639667,100.99676521970267,105.18644067030183
faces,0.6,policy_T11_T28,1,8,39,109.26367077064499,5.711163334022365,114.97483410466732,156.8037051447404,160.99338059533957
faces,0.9,policy_T11_T28,1,8,62,156.0367066721407,5.146740409526663,161.18344708166734,249.35153110229,253.54120655288918
faces,0.3,policy_T12_T23,2,3,25,60.33162544215611,5.726194900515989,66.0578203426721,80.07172401411847,84.26139946471764
faces,0.6,policy_T12_T23,2,3,39,92.57790460357552,5.174623815930463,97.75252841950599,135.8786639391562,140.06833938975538
faces,0.9,policy_T12_T23,2,3,62,137.77830621658995,4.8092397449204665,142.58754596151041,228.42648989670582,232.61616534730499
faces,0.3,policy_T12_T25,2,5,25,70.45712025761041,6.220121476879613,76.67724173449004,92.41988842320907,96.60956387380824
faces,0.6,policy_T12_T25,2,5,39,103.50128081161722,5.491243416163556,108.9925242277808,148.22682834824684,152.416503798846
faces,0.9,policy_T12_T25,2,5,62,149.23023288631103,5.008403687002573,154.23863657331364,240.77465430579642,244.96432975639559
faces,0.3,policy_T12_T28,2,8,25,83.79313781942825,6.961011341425048,90.7541491608533,110.94213503684497,115.13181048744414
faces,0.6,policy_T12_T28,2,8,39,118.69902162280563,5.966172816513195,124.66519443931887,166.74907496188274,170.9387504124819
faces,0.9,policy_T12_T28,2,8,62,165.66125810808484,5.307149600125733,170.96840770821058,259.29690091943235,263.4865763700315
faces,0.3,policy_T14_T25,4,5,25,87.5631563430952,7.015751062251,94.5789074053462,112.31062805749372,116.50030350809288
faces,0.6,policy_T14_T25,4,5,39,121.60695406846607,6.001262381145214,127.60821644961128,168.11756798253148,172.30724343313065
faces,0.9,policy_T14_T25,4,5,62,167.99810818640225,5.329222068200713,173.32733025460294,260.6653939400811,264.8550693906803
faces,0.3,policy_T14_T28,4,8,25,100.89917390491304,7.756640926796435,108.65581483170949,130.83287467112962,135.02255012172878
faces,0.6,policy_T14_T28,4,8,39,136.8046948796545,6.476191781494852,143.2808866611494,186.63981459616738,190.82949004676655
faces,0.9,policy_T14_T28,4,8,62,184.429133408176,5.627967981323873,190.05710138949988,279.187640553717,283.3773160043162
