algo,steps,n_imgs,dataset,seed,total_s,per_step_ms
DDPM,5,4,flowers,42,0.1446540355682373,28.93080711364746
DDPM,10,4,flowers,42,0.2867124080657959,28.67124080657959
DDPM,25,4,flowers,42,0.6989467144012451,27.957868576049805
DDPM,50,4,flowers,42,1.6276726722717285,32.55345344543457
DDPM,100,4,flowers,42,3.312237024307251,33.12237024307251
DDPM,250,4,flowers,42,6.960867643356323,27.843470573425293
DDIM,5,4,flowers,42,0.14412307739257812,28.824615478515625
DDIM,10,4,flowers,42,0.28139734268188477,28.139734268188477
DDIM,25,4,flowers,42,0.7161238193511963,28.64495277404785
DDIM,50,4,flowers,42,1.6365833282470703,32.731666564941406
DDIM,100,4,flowers,42,3.270395040512085,32.70395040512085
DDIM,250,4,flowers,42,6.976980686187744,27.907922744750977
