dataset,algo,steps,n_real,n_fake,clip_mean,clip_std,fid
cifar10,ddim,10,512,512,0.22677603363990784,0.007067455444484949,104.9995346069336
cifar10,ddim,20,512,512,0.2244429588317871,0.0068343663588166,94.8660659790039
cifar10,ddim,40,512,512,0.2226686179637909,0.006679756101220846,87.8981704711914
cifar10,ddim,50,512,512,0.2223371416330337,0.0066653103567659,87.57469177246094
cifar10,ddim,80,512,512,0.2217349261045456,0.006780263967812061,84.58106994628906
cifar10,ddim,100,512,512,0.22145149111747742,0.006850564386695623,83.4153060913086
cifar10,ddim,150,512,512,0.22121348977088928,0.006936321500688791,82.78795623779297
cifar10,ddpm,10,512,512,0.2204698771238327,0.0026103463023900986,381.7877197265625
cifar10,ddpm,20,512,512,0.2191741019487381,0.004078684374690056,324.771484375
cifar10,ddpm,40,512,512,0.2183142900466919,0.006644035689532757,235.77880859375
cifar10,ddpm,50,512,512,0.21809601783752441,0.007698144763708115,215.62188720703125
cifar10,ddpm,80,512,512,0.21677374839782715,0.009597234427928925,175.2975616455078
cifar10,ddpm,100,512,512,0.2171418964862823,0.009845046326518,173.18731689453125
cifar10,ddpm,150,512,512,0.2171526551246643,0.010125542059540749,133.13833618164062
